,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
10,,,,,,,,,,,,,0.8099,,,,,,,,,,,,,cb0a7bf8-cc46-428f-b364-8b4a706638f7,17,,"[29.0, 73.0]",18244,0,,,0.32175055,,,Other,,,,"[32.0, 74.0]",,Low Pass,3.1622777,,Luka Modrić,5463.0,,,Interception,1,From Throw In,Daniel Carvajal Ramos,5721.0,Right Back,3,Juventus,224,"['76e27dd2-34f0-4e52-ae66-876cf0249de5', 'defe5fb8-a827-4c2e-b3d5-a31db49213ce']",20,,,,,,,,,,,,,,,,Real Madrid,220,00:00:20.152,Pass,
11,,,,,,,,,,,,,2.0081,,,,,,,,,,,,,bde2c55d-923d-4528-b3a4-857f526289d7,20,,"[36.0, 75.0]",18244,0,,,0.0,,,Right Foot,,,,"[57.0, 75.0]",,High Pass,21.0,Incomplete,,,,,,1,From Throw In,Luka Modrić,5463.0,Left Center Midfield,3,Juventus,224,['e8793b3c-c743-4db7-a248-9f3c35e3d031'],21,,,,,,,,,,,,,,,,Real Madrid,220,00:00:21.002,Pass,
12,,,,,,,,,,,,,2.3551,,,,,,,,,,,,,e8793b3c-c743-4db7-a248-9f3c35e3d031,21,,"[64.0, 6.0]",18244,0,,,0.049958397,,,Head,,,,"[84.0, 7.0]",,High Pass,20.024984,,Mario Mandžukić,5472.0,,,Recovery,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,3,Juventus,224,"['bde2c55d-923d-4528-b3a4-857f526289d7', 'fcd7d407-755e-438e-8664-6e8f3f288029']",23,,,,,,,,,,,,,,,,Juventus,224,00:00:23.010,Pass,
13,,,,,,,,,,,,,0.682092,,,,,,,,,,,,,17e73677-813a-43c0-a176-d8493ce10b49,23,,"[84.0, 7.0]",18244,0,,,0.8960554,,,Head,,,,"[88.0, 12.0]",,Low Pass,6.4031243,,Gonzalo Gerardo Higuaín,5497.0,,,,1,From Throw In,Mario Mandžukić,5472.0,Left Wing,3,Juventus,224,['cfe82d9b-e854-4d7d-91e7-d62c3fb02ae8'],25,,,,,,,,,,,,,,,,Juventus,224,00:00:25.405,Pass,
14,,,,,,,,,,,,,1.160553,,,,,,,,,,,,,cac62f13-209c-46fe-9f6e-dbe17b281391,28,,"[92.0, 25.0]",18244,0,,,2.158799,,,Right Foot,,,,"[86.0, 34.0]",,Ground Pass,10.816654,,Miralem Pjanić,6947.0,,,,1,From Throw In,Gonzalo Gerardo Higuaín,5497.0,Center Forward,3,Juventus,224,"['6133d045-95b5-471d-bd4b-9a7b5c29b5e2', 'd12cf8a3-1ab3-41d1-858c-d003432a3315']",28,,,,,,,,,,,,,,,,Juventus,224,00:00:28.955,Pass,True
15,,,,,,,,,,,,,0.970918,,,,,,,,,,,,,777314ac-9f0a-4fee-8540-b49bf479ebe4,31,,"[86.0, 36.0]",18244,0,,,1.5083776,,,Right Foot,,,,"[87.0, 52.0]",,Ground Pass,16.03122,,Daniel Alves da Silva,4324.0,,,,1,From Throw In,Miralem Pjanić,6947.0,Right Defensive Midfield,3,Juventus,224,['cdf69944-ceb0-447d-a2ac-ef14c3921965'],31,,,,,,,,,,,,,,,,Juventus,224,00:00:31.029,Pass,
16,,,,,,,,,,,,,0.2186,,,,,,,,,,,,,3c7d09bf-0491-4387-9118-8df959d73fbe,35,,"[84.0, 52.0]",18244,0,,,0.0,,,Right Foot,,,,"[88.0, 52.0]",,Ground Pass,4.0,Incomplete,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing,3,Juventus,224,['852976bc-6a2f-4278-9b64-4c1bfe7d18af'],32,,,,,,,,,,,,,,,,Juventus,224,00:00:32.880,Pass,
17,,,,,,,,,,,,,1.836645,,,,,,,,,,,,,96b4820c-d477-4812-82c1-cbaaf5a10e7e,37,,"[75.0, 45.0]",18244,0,,,-2.3561945,,,Left Foot,,,,"[65.0, 35.0]",,Ground Pass,14.142136,,Giorgio Chiellini,6954.0,,,Recovery,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing,3,Juventus,224,['716f2d47-d4b2-4cc5-bd7b-023ff987bda6'],35,,,,,,,,,,,,,,,,Juventus,224,00:00:35.183,Pass,
18,,,,,,,,,,,,,1.957266,,,,,,,,,,,,,e430a350-2782-4258-b408-f0d9a81e938c,40,,"[65.0, 35.0]",18244,0,,,-1.3078016,,,Right Foot,,,,"[72.0, 9.0]",,Ground Pass,26.925823,,Alex Sandro Lobo Silva,6945.0,,,,1,From Throw In,Giorgio Chiellini,6954.0,Left Center Back,3,Juventus,224,['60616d4b-c05d-4986-9a94-5161cb06a35f'],37,,,,,,,,,,,,,,,,Juventus,224,00:00:37.221,Pass,
19,,,,,,,,,,,,,0.833885,,,,,,,,,,,,,d23b16d4-9497-419a-820d-451d1ec597ba,44,,"[83.0, 9.0]",18244,0,,,-0.9272952,,,Left Foot,,,,"[86.0, 5.0]",,Ground Pass,5.0,,Mario Mandžukić,5472.0,,,,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,3,Juventus,224,['c0fa3e22-c314-4130-9234-a1ca05883c91'],42,,,,,,,,,,,,,,,,Juventus,224,00:00:42.005,Pass,
